"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.590387375E0,1.095122681E0,1.359922028E0,-1.978136444E0
3.600385375E0,1.086141357E0,9.285191345E-1,-1.345701599E0
3.610384375E0,1.082848206E0,8.174501038E-1,2.050735474E-2
3.620382375E0,1.062789917E0,1.213825836E0,1.385369110E0
3.630380375E0,9.909393311E-1,1.768721924E0,2.606529694E0
3.640379375E0,6.622229004E-1,2.477647705E0,3.745511169E0
3.650377375E0,6.607260132E-1,3.816313934E0,5.200784912E0
3.660376375E0,9.583071899E-1,5.771548004E0,7.602091370E0
3.670374375E0,1.427581329E0,8.782237244E0,1.027777725E1
3.680372375E0,2.533631287E0,1.347916992E1,1.217837494E1
3.690371375E0,2.523003387E0,1.830797836E1,1.306049057E1
3.700369375E0,1.175206146E0,2.228535736E1,1.090482330E1
3.710368375E0,-6.301895142E-2,2.354693390E1,9.738748169E0
3.720366375E0,1.779798889E-1,2.032039352E1,9.345815277E0
3.730364375E0,1.795516205E0,1.444032120E1,7.987539825E0
3.740363375E0,2.496957550E0,9.519454193E0,6.998696136E0
3.750361375E0,2.981050873E0,6.976691895E0,6.236930237E0
3.760360375E0,4.059258728E0,5.924978943E0,5.665867767E0
3.770358375E0,5.589825897E0,6.368955688E0,5.168601837E0
3.780357375E0,6.621330872E0,8.981622620E0,5.805976410E0
3.790355375E0,6.946155396E0,1.502171219E1,6.568490753E0
3.800353375E0,6.165828094E0,2.009720764E1,7.223678284E0
3.810352375E0,2.809657288E0,1.990904892E1,5.522316284E0
3.820350375E0,-1.332528992E0,1.692320801E1,4.445755005E-1
3.830349375E0,-3.529510345E0,1.349743195E1,-3.344495087E0
3.840347375E0,-2.421514435E0,9.771679688E0,-6.564598846E0
3.850345375E0,-4.999603271E-2,7.107819214E0,-5.425617371E0
3.860344375E0,1.824406128E0,6.237229614E0,-3.229234772E0
3.870342375E0,2.542013855E0,6.137686615E0,-1.182391205E0
3.880341375E0,1.370998993E0,5.523513794E0,-1.203647003E0
3.890339375E0,-5.632786560E-1,5.306465149E0,-3.432362366E0
3.900337375E0,-1.803599396E0,5.914351044E0,-6.173911285E0
3.910336375E0,-1.845961304E0,7.112609253E0,-7.141798553E0
3.920334375E0,-1.563947754E0,7.517068176E0,-6.078409882E0
3.930333375E0,-8.746311951E-1,7.940537567E0,-4.000131683E0
3.940331375E0,-5.733078003E-1,8.710386658E0,-2.646646271E0
3.950329375E0,-1.247805176E0,1.168290527E1,-2.132764893E0
3.960328375E0,-2.818039856E0,1.811547867E1,-1.041534119E0
3.970326375E0,-4.539310455E0,2.145368683E1,1.619631958E-1
3.980325375E0,-5.995332642E0,1.793555283E1,6.741979980E-1
3.990323375E0,-6.404581604E0,1.311422882E1,2.497705994E0
4.000321375E0,-4.790937195E0,9.297166443E0,3.740122375E0
4.010320375E0,-2.378104706E0,7.586523743E0,4.563859406E0
4.020318375E0,-8.906478882E-2,7.163653107E0,5.076992340E0
4.030317375E0,1.275198212E0,7.133715363E0,5.110672302E0
4.040315375E0,1.878593445E0,6.596183167E0,4.292024689E0
4.050313375E0,2.104024658E0,5.506748657E0,2.407743073E0
4.060312375E0,2.232756958E0,5.103636932E0,-8.277786255E-2
4.070310375E0,2.516117706E0,5.370382233E0,-1.528920593E0
4.080309375E0,2.108066254E0,6.406377869E0,-1.604663086E0
